Timestamp,cpu,memory,cpu_temperature,arm_clock,total_cpu,throttled_status_under_voltage,throttled_status_currently_throttled,throttled_status_freq_capped,throttled_status_under_voltage_occurred,throttled_status_throttling_occurred,throttled_status_freq_capped_occurred,color,age,watchdog,apache_active,temp,humidity,weather,apache2metrics_TotalAccesses,apache2metrics_TotalkBytes,apache2metrics_BusyWorkers,apache2metrics_IdleWorkers,apache2metrics_Processes,apache2metrics_ConnsTotal,apache2metrics_DurationPerReq,apache2metrics_Load1,apache2metrics_Load5,apache2metrics_ServerUptime
2024-11-27 02:59:56,3.8,43.1,56.4,1400.0,42.0,True,False,True,True,False,True,#081814,"5d, 14h, 59m, 56s",True,True,-0.94,82,few clouds,1252,4498,1,49,2,0,2.07188,0.39,0.42,3d 7h 37m 14s
2024-11-27 03:00:06,3.0,42.9,56.9,1400.0,42.0,True,False,True,True,False,True,#272e23,"5d, 15h, 0m, 6s",True,True,-0.94,82,few clouds,1253,4499,1,49,2,0,2.07183,0.56,0.45,3d 7h 37m 24s
2024-11-27 03:00:16,4.0,43.4,56.9,1400.0,56.0,True,False,True,True,False,True,#0f031a,"5d, 15h, 0m, 15s",True,True,-0.94,82,few clouds,1254,4500,1,49,2,0,2.07177,0.54,0.46,3d 7h 37m 34s
2024-11-27 03:00:26,16.8,42.4,56.4,1400.0,224.0,True,False,True,True,False,True,#2e411a,"5d, 15h, 0m, 25s",True,True,-0.94,82,few clouds,1255,4501,1,49,2,0,2.07171,0.61,0.47,3d 7h 37m 44s
2024-11-27 03:00:36,54.9,44.0,58.0,1400.0,756.0,True,False,True,True,False,True,#60270d,"5d, 15h, 0m, 36s",True,-0.94,82,few clouds,1256,4501,1,49,2,0,2.07166,0.51,0.46,3d 7h 37m 54s
2024-11-27 03:00:46,9.3,44.3,56.9,1400.0,126.0,True,False,True,True,False,True,#0a4d55,"5d, 15h, 0m, 45s",True,True,-0.94,82,few clouds,1257,4502,1,49,2,0,2.0716,0.74,0.51,3d 7h 38m 4s
2024-11-27 03:00:56,5.1,43.6,57.5,1400.0,70.0,True,False,True,True,False,True,#425e23,"5d, 15h, 0m, 56s",True,-0.94,82,few clouds,1258,4503,1,49,2,0,2.07154,0.71,0.51,3d 7h 38m 14s
2024-11-27 03:01:06,10.2,45.5,57.5,1400.0,140.0,True,False,True,True,False,True,#245507,"5d, 15h, 1m, 6s",True,-0.94,82,few clouds,1259,4504,1,49,2,0,2.07149,0.75,0.52,3d 7h 38m 24s
2024-11-27 03:01:16,3.0,45.7,58.0,1400.0,42.0,True,False,True,True,False,True,#142504,"5d, 15h, 1m, 16s",True,True,-0.94,82,few clouds,1260,4505,1,49,2,0,2.07381,0.95,0.57,3d 7h 38m 34s
2024-11-27 03:01:26,2.8,46.0,57.5,1400.0,28.0,True,False,True,True,False,True,#305948,"5d, 15h, 1m, 26s",True,True,-0.94,82,few clouds,1261,4506,1,49,2,0,2.07375,1.26,0.65,3d 7h 38m 44s
2024-11-27 03:01:36,1.8,46.0,57.5,1400.0,14.0,True,False,True,True,False,True,#2f4c47,"5d, 15h, 1m, 36s",True,True,-0.94,82,few clouds,1262,4507,1,49,2,0,2.07369,1.22,0.67,3d 7h 38m 54s
2024-11-27 03:01:46,1.5,45.3,56.9,1400.0,14.0,True,False,True,True,False,True,#56385b,"5d, 15h, 1m, 46s",True,True,-0.94,82,few clouds,1263,4508,1,49,2,0,2.07284,1.03,0.64,3d 7h 39m 4s
2024-11-27 03:01:56,3.3,45.0,56.9,1400.0,42.0,True,False,True,True,False,True,#024a59,"5d, 15h, 1m, 56s",True,True,-0.94,82,few clouds,1264,4508,1,49,2,0,2.07278,1.11,0.67,3d 7h 39m 14s
2024-11-27 03:02:06,3.5,45.3,56.9,1400.0,42.0,True,False,True,True,False,True,#244c63,"5d, 15h, 2m, 5s",True,True,-0.94,82,few clouds,1265,4509,1,49,2,0,2.07273,1.23,0.72,3d 7h 39m 24s
2024-11-27 03:02:16,4.3,45.0,57.5,1400.0,56.0,True,False,True,True,False,True,#262d63,"5d, 15h, 2m, 16s",True,-0.94,82,few clouds,1266,4510,1,49,2,0,2.07267,1.27,0.74,3d 7h 39m 34s
2024-11-27 03:02:26,8.3,46.0,56.9,1400.0,112.0,True,False,True,True,False,True,#190a08,"5d, 15h, 2m, 26s",True,True,-0.94,82,few clouds,1267,4511,1,49,2,0,2.07261,1.07,0.72,3d 7h 39m 44s
2024-11-27 03:02:36,12.0,46.3,57.5,1400.0,168.0,True,False,True,True,False,True,#365a48,"5d, 15h, 2m, 36s",True,True,-0.94,82,few clouds,1268,4512,1,49,2,0,2.07256,0.99,0.71,3d 7h 39m 54s
2024-11-27 03:02:46,28.4,44.5,56.9,1400.0,392.0,True,False,True,True,False,True,#2a1f11,"5d, 15h, 2m, 46s",True,True,-0.94,82,few clouds,1269,4513,1,49,2,0,2.0725,1.37,0.8,3d 7h 40m 4s
2024-11-27 03:02:56,4.5,44.2,58.0,1400.0,56.0,True,False,True,True,False,True,#3e2517,"5d, 15h, 2m, 56s",True,True,-0.94,82,few clouds,1270,4514,1,49,2,0,2.07244,1.16,0.77,3d 7h 40m 14s
2024-11-27 03:03:06,6.0,43.6,56.9,1400.0,84.0,True,False,True,True,False,True,#15621e,"5d, 15h, 3m, 5s",True,True,-0.94,82,few clouds,1271,4515,1,49,2,0,2.07238,1.05,0.77,3d 7h 40m 24s
2024-11-27 03:03:16,6.9,43.3,57.5,1400.0,84.0,-0.94,82,few clouds,1272,4515,1,49,2,0,2.07233,0.97,0.76,3d 7h 40m 34s
2024-11-27 03:03:26,2.5,43.3,56.9,1400.0,28.0,True,False,True,True,False,True,#533d2b,"5d, 15h, 3m, 26s",True,True,-0.94,82,few clouds,1273,4516,1,49,2,0,2.07227,0.82,0.73,3d 7h 40m 44s
2024-11-27 03:03:36,5.1,43.3,56.9,1400.0,70.0,True,False,True,True,False,True,#326329,"5d, 15h, 3m, 36s",True,True,-0.94,82,few clouds,1274,4517,1,49,2,0,2.07221,0.7,0.71,3d 7h 40m 54s
2024-11-27 03:03:46,5.6,44.3,56.9,1400.0,70.0,True,False,True,True,False,True,#28353f,"5d, 15h, 3m, 46s",True,True,-1.3,83,few clouds,1275,4518,1,49,2,0,2.07216,0.59,0.68,3d 7h 41m 4s
2024-11-27 03:03:56,3.8,43.4,57.5,1400.0,42.0,True,False,True,True,False,True,#32602f,"5d, 15h, 3m, 56s",True,True,-1.3,83,few clouds,1276,4519,1,49,2,0,2.0721,0.72,0.71,3d 7h 41m 14s
2024-11-27 03:04:06,5.1,43.4,56.9,1400.0,70.0,True,False,True,True,False,True,#474d56,"5d, 15h, 4m, 6s",True,True,-1.3,83,few clouds,1277,4520,1,49,2,0,2.07126,0.76,0.72,3d 7h 41m 24s
2024-11-27 03:04:16,4.3,43.4,56.9,1400.0,56.0,True,False,True,True,False,True,#331c5b,"5d, 15h, 4m, 16s",True,True,-1.3,83,few clouds,1278,4521,1,49,2,0,2.07199,0.64,0.69,3d 7h 41m 34s
2024-11-27 03:04:26,6.5,43.9,56.9,1400.0,84.0,True,False,True,True,False,True,#4e3048,"5d, 15h, 4m, 25s",True,True,-1.3,83,few clouds,1279,4522,1,49,2,0,2.07193,0.86,0.74,3d 7h 41m 44s
2024-11-27 03:04:36,5.8,44.4,56.9,1400.0,70.0,True,False,True,True,False,True,#1b1348,"5d, 15h, 4m, 36s",True,True,-1.3,83,few clouds,1280,4522,1,49,2,0,2.07109,0.73,0.71,3d 7h 41m 54s
2024-11-27 03:04:46,4.8,44.7,56.9,1400.0,56.0,True,False,True,True,False,True,#18193e,"5d, 15h, 4m, 46s",True,True,-1.3,83,few clouds,1281,4523,1,49,2,0,2.0726,0.62,0.69,3d 7h 42m 4s
2024-11-27 03:04:56,4.7,44.5,56.4,1400.0,56.0,True,False,True,True,False,True,#3a1630,"5d, 15h, 4m, 56s",True,True,-1.3,83,few clouds,1282,4524,1,49,2,0,2.07254,0.59,0.68,3d 7h 42m 14s
2024-11-27 03:05:06,4.6,43.8,56.9,1400.0,56.0,True,False,True,True,False,True,#612c16,"5d, 15h, 5m, 6s",True,True,-1.3,83,few clouds,1283,4525,1,49,2,0,2.07171,0.66,0.69,3d 7h 42m 24s
2024-11-27 03:05:16,4.5,43.7,56.9,1400.0,56.0,True,False,True,True,False,True,#4c5e03,"5d, 15h, 5m, 15s",True,True,-1.3,83,few clouds,1284,4526,1,49,2,0,2.07165,0.96,0.75,3d 7h 42m 34s
2024-11-27 03:05:26,5.8,43.8,57.5,1400.0,70.0,True,False,True,True,False,True,#505718,"5d, 15h, 5m, 26s",True,True,-1.3,83,few clouds,1285,4527,1,49,2,0,2.0716,0.88,0.74,3d 7h 42m 44s
2024-11-27 03:05:36,5.8,43.1,56.9,1400.0,70.0,True,False,True,True,False,True,#175221,"5d, 15h, 5m, 36s",True,True,-1.3,83,few clouds,1286,4528,1,49,2,0,2.07154,0.9,0.75,3d 7h 42m 54s
2024-11-27 03:05:46,6.8,43.2,56.9,1400.0,84.0,True,False,True,True,False,True,#423814,"5d, 15h, 5m, 46s",True,True,-1.3,83,few clouds,1287,4529,1,49,2,0,2.07148,0.91,0.76,3d 7h 43m 4s
2024-11-27 03:05:56,5.8,43.3,56.9,1400.0,70.0,True,False,True,True,False,True,#47625d,"5d, 15h, 5m, 56s",True,True,-1.3,83,few clouds,1288,4529,1,49,2,0,2.07143,0.77,0.74,3d 7h 43m 14s
2024-11-27 03:06:06,6.8,43.3,56.9,1400.0,84.0,True,False,True,True,False,True,#2a5648,"5d, 15h, 6m, 6s",True,True,-1.3,83,few clouds,1289,4530,1,49,2,0,2.07137,0.81,0.74,3d 7h 43m 24s
2024-11-27 03:06:16,8.8,43.6,56.9,True,1400.0,112.0,True,False,True,True,False,True,#381747,"5d, 15h, 6m, 16s",True,-1.3,83,few clouds,1290,4531,1,49,2,0,2.07132,0.69,0.72,3d 7h 43m 34s
2024-11-27 03:06:26,3.8,43.1,56.9,1400.0,42.0,True,False,True,True,False,True,#433a20,"5d, 15h, 6m, 26s",True,True,-1.3,83,few clouds,1291,4532,1,49,2,0,2.07204,0.58,0.7,3d 7h 43m 44s
2024-11-27 03:06:36,5.3,43.3,56.9,1400.0,70.0,True,False,True,True,False,True,#430831,"5d, 15h, 6m, 36s",True,True,-1.3,83,few clouds,1292,4533,1,49,2,0,2.07276,0.56,0.69,3d 7h 43m 54s
2024-11-27 03:06:46,2.3,43.8,56.9,1400.0,28.0,True,False,True,True,False,True,#531c1e,"5d, 15h, 6m, 46s",True,True,-1.3,83,few clouds,1293,4534,1,49,2,0,2.0727,0.48,0.67,3d 7h 44m 4s
2024-11-27 03:06:56,6.3,44.8,56.9,1400.0,84.0,True,False,True,True,False,True,#1c4f12,"5d, 15h, 6m, 56s",True,True,-1.3,83,few clouds,1294,4535,1,49,2,0,2.07264,0.56,0.68,3d 7h 44m 14s
2024-11-27 03:07:06,8.3,43.8,56.9,1400.0,112.0,True,False,True,True,False,True,#3f113d,"5d, 15h, 7m, 5s",True,True,-1.3,83,few clouds,1295,4536,1,49,2,0,2.07259,0.48,0.65,3d 7h 44m 24s
2024-11-27 03:07:16,5.6,43.5,56.9,1400.0,70.0,True,False,True,True,False,True,#0c362c,"5d, 15h, 7m, 16s",True,True,-1.3,83,few clouds,1296,4536,1,49,2,0,2.07253,0.4,0.63,3d 7h 44m 34s
2024-11-27 03:07:26,3.8,43.4,56.9,1400.0,42.0,True,False,True,True,False,True,#3d400f,"5d, 15h, 7m, 26s",True,True,-1.3,83,few clouds,1297,4537,1,49,2,0,2.07247,0.56,0.66,3d 7h 44m 44s
2024-11-27 03:07:36,5.1,43.4,56.4,1400.0,70.0,True,False,True,True,False,True,#2e3d44,"5d, 15h, 7m, 36s",True,True,-1.3,83,few clouds,1298,4538,1,49,2,0,2.07242,0.48,0.64,3d 7h 44m 54s
2024-11-27 03:07:46,5.2,43.3,56.4,1400.0,70.0,True,False,True,True,False,True,#251b44,"5d, 15h, 7m, 46s",True,True,-1.3,83,few clouds,1299,4539,1,49,2,0,2.07236,0.48,0.63,3d 7h 45m 4s
2024-11-27 03:07:56,6.8,43.5,56.9,1400.0,84.0,True,False,True,True,False,True,#2c3356,"5d, 15h, 7m, 55s",True,True,-1.3,83,few clouds,1300,4540,1,49,2,0,2.07231,0.41,0.61,3d 7h 45m 14s
2024-11-27 03:08:06,8.5,43.6,56.9,1400.0,112.0,True,False,True,True,False,True,#164c5b,"5d, 15h, 8m, 6s",True,True,-1.3,83,few clouds,1301,4541,1,49,2,0,2.07225,0.42,0.61,3d 7h 45m 24s
2024-11-27 03:08:16,5.8,43.5,56.4,1400.0,70.0,True,False,True,True,False,True,#433e34,"5d, 15h, 8m, 16s",True,True,-1.3,83,few clouds,1302,4542,1,49,2,0,2.07296,0.72,0.67,3d 7h 45m 34s
2024-11-27 03:08:26,5.1,43.4,56.9,1400.0,70.0,True,False,True,True,False,True,#2c452a,"5d, 15h, 8m, 26s",True,True,-1.3,83,few clouds,1303,4543,1,49,2,0,2.07291,0.61,0.65,3d 7h 45m 44s
2024-11-27 03:08:36,6.6,44.2,56.9,1400.0,84.0,True,False,True,True,False,True,#08015c,"5d, 15h, 8m, 36s",True,True,-1.3,83,few clouds,1304,4543,1,49,2,0,2.07285,0.6,0.64,3d 7h 45m 54s
2024-11-27 03:08:46,5.0,43.5,56.9,1400.0,70.0,True,False,True,True,False,True,#62441e,"5d, 15h, 8m, 46s",True,True,-1.3,83,few clouds,1305,4544,1,49,2,0,2.0728,0.5,0.62,3d 7h 46m 4s
2024-11-27 03:08:56,8.2,44.1,56.9,1400.0,112.0,True,False,True,True,False,True,#0d1535,"5d, 15h, 8m, 56s",True,True,-1.3,83,few clouds,1306,4545,1,49,2,0,2.07274,0.43,0.6,3d 7h 46m 14s
2024-11-27 03:09:06,5.3,44.8,56.4,1400.0,70.0,True,False,True,True,False,True,#104407,"5d, 15h, 9m, 6s",True,True,-1.3,83,few clouds,1307,4546,1,49,2,0,2.07269,0.44,0.6,3d 7h 46m 24s
2024-11-27 03:09:16,5.6,44.9,56.4,1400.0,70.0,True,False,True,True,False,True,#26502c,"5d, 15h, 9m, 16s",True,True,-1.3,83,few clouds,1308,4547,1,49,2,0,2.07263,0.44,0.59,3d 7h 46m 34s
2024-11-27 03:09:26,5.6,43.4,56.9,1400.0,70.0,True,False,True,True,False,True,#46072d,"5d, 15h, 9m, 26s",True,True,-1.4,94,scattered clouds,1309,4548,1,49,2,0,2.07334,0.45,0.59,3d 7h 46m 44s
2024-11-27 03:09:36,6.3,43.2,56.9,1400.0,84.0,True,False,True,True,False,True,#312c11,"5d, 15h, 9m, 36s",True,True,-1.4,94,scattered clouds,1310,4549,1,49,2,0,2.07328,0.38,0.57,3d 7h 46m 54s
2024-11-27 03:09:46,4.1,43.3,56.9,1400.0,56.0,True,False,True,True,False,True,#112740,"5d, 15h, 9m, 45s",True,True,-1.4,94,scattered clouds,1311,4550,1,49,2,0,2.07323,0.32,0.55,3d 7h 47m 4s
2024-11-27 03:09:56,6.5,43.7,56.9,1400.0,84.0,True,False,True,True,False,True,#51560d,"5d, 15h, 9m, 56s",True,True,-1.4,94,scattered clouds,1312,4550,1,49,2,0,2.07241,0.35,0.55,3d 7h 47m 14s
2024-11-27 03:10:06,6.3,43.2,56.9,1400.0,84.0,True,False,True,True,False,True,#1f3e0a,"5d, 15h, 10m, 6s",True,True,-1.4,94,scattered clouds,1313,4551,1,49,2,0,2.07312,0.45,0.56,3d 7h 47m 24s
2024-11-27 03:10:16,4.3,43.0,56.9,1400.0,56.0,True,False,True,True,False,True,#1c5e45,"5d, 15h, 10m, 16s",True,True,-1.3,83,few clouds,1314,4552,1,49,2,0,2.07306,0.46,0.56,3d 7h 47m 34s
2024-11-27 03:10:26,6.3,43.2,56.9,1400.0,84.0,True,False,True,True,False,True,#35001d,"5d, 15h, 10m, 26s",True,True,-1.3,83,few clouds,1315,4553,1,49,2,0,2.073,0.39,0.54,3d 7h 47m 44s
2024-11-27 03:10:36,6.0,43.8,56.9,1400.0,84.0,True,False,True,True,False,True,#4b1722,"5d, 15h, 10m, 36s",True,True,-1.4,94,scattered clouds,1316,4554,1,49,2,0,2.07295,0.33,0.52,3d 7h 47m 54s
2024-11-27 03:10:46,7.1,43.5,56.9,1400.0,98.0,True,False,True,True,False,True,#28433b,"5d, 15h, 10m, 45s",True,True,-1.3,83,few clouds,1317,4555,1,49,2,0,2.07289,0.28,0.51,3d 7h 48m 4s
2024-11-27 03:10:56,4.0,43.3,56.9,1400.0,56.0,True,False,True,True,False,True,#3d0661,"5d, 15h, 10m, 56s",True,True,-1.3,83,few clouds,1318,4556,1,49,2,0,2.07208,0.24,0.49,3d 7h 48m 14s
2024-11-27 03:11:06,6.3,43.4,56.9,1400.0,84.0,True,False,True,True,False,True,#3b2b3b,"5d, 15h, 11m, 6s",True,True,-1.4,94,scattered clouds,1319,4557,1,49,2,0,2.07278,0.28,0.49,3d 7h 48m 24s
2024-11-27 03:11:16,4.0,43.4,56.4,1400.0,56.0,True,False,True,True,False,True,#050f64,"5d, 15h, 11m, 16s",True,True,-1.3,83,few clouds,1320,4557,1,49,2,0,2.07273,0.24,0.47,3d 7h 48m 34s
2024-11-27 03:11:26,7.5,43.6,56.4,1400.0,98.0,True,False,True,True,False,True,#04550b,"5d, 15h, 11m, 26s",True,True,-1.4,94,scattered clouds,1321,4558,1,49,2,0,2.07267,0.2,0.46,3d 7h 48m 44s
2024-11-27 03:11:36,5.5,43.6,56.9,1400.0,70.0,True,False,True,True,False,True,#26624c,"5d, 15h, 11m, 36s",True,True,-1.3,83,few clouds,1322,4559,1,49,2,0,2.07262,0.24,0.46,3d 7h 48m 54s
2024-11-27 03:11:46,7.1,43.8,56.9,1400.0,98.0,True,False,True,True,False,True,#3e2e0f,"5d, 15h, 11m, 45s",True,True,-1.4,94,scattered clouds,1323,4560,1,49,2,0,2.07181,0.21,0.44,3d 7h 49m 4s
2024-11-27 03:11:56,3.8,43.6,56.9,1400.0,42.0,True,False,True,True,False,True,#1b0c38,"5d, 15h, 11m, 56s",True,True,-1.4,94,scattered clouds,1324,4561,1,49,2,0,2.07175,0.25,0.45,3d 7h 49m 14s
2024-11-27 03:12:06,6.8,44.1,56.4,1400.0,84.0,True,False,True,True,False,True,#105e0a,"5d, 15h, 12m, 6s",True,True,-1.4,94,scattered clouds,1325,4562,1,49,2,0,2.0717,0.21,0.43,3d 7h 49m 24s
2024-11-27 03:12:16,5.2,43.5,56.4,1400.0,70.0,True,False,True,True,False,True,#3c264c,"5d, 15h, 12m, 16s",True,True,-1.4,94,scattered clouds,1326,4563,1,49,2,0,2.07164,0.26,0.43,3d 7h 49m 34s
2024-11-27 03:12:26,4.6,43.7,56.9,1400.0,56.0,True,False,True,True,False,True,#2c5823,"5d, 15h, 12m, 26s",True,True,-1.3,83,few clouds,1327,4564,1,49,2,0,2.07159,0.3,0.44,3d 7h 49m 44s
2024-11-27 03:12:36,7.5,44.0,56.4,1400.0,98.0,True,False,True,True,False,True,#185d4c,"5d, 15h, 12m, 35s",True,True,-1.4,94,scattered clouds,1328,4564,1,49,2,0,2.07154,0.32,0.44,3d 7h 49m 54s
2024-11-27 03:12:46,7.7,43.9,56.9,1400.0,98.0,True,False,True,True,False,True,#130c47,"5d, 15h, 12m, 46s",True,True,-1.4,94,scattered clouds,1329,4565,1,49,2,0,2.07148,0.35,0.44,3d 7h 50m 4s
2024-11-27 03:12:56,6.1,44.6,55.8,1400.0,84.0,True,False,True,True,False,True,#162918,"5d, 15h, 12m, 56s",True,True,-1.4,94,scattered clouds,1330,4566,1,49,2,0,2.07143,0.3,0.42,3d 7h 50m 14s
2024-11-27 03:13:06,7.2,43.8,55.8,1400.0,98.0,True,False,True,True,False,True,#3b340a,"5d, 15h, 13m, 6s",True,True,-1.3,83,few clouds,1331,4567,1,49,2,0,2.07137,0.33,0.43,3d 7h 50m 24s
2024-11-27 03:13:16,4.3,43.0,56.9,1400.0,56.0,True,False,True,True,False,True,#631863,"5d, 15h, 13m, 16s",True,True,-1.4,94,scattered clouds,1332,4568,1,49,2,0,2.07132,0.28,0.41,3d 7h 50m 34s
2024-11-27 03:13:26,5.3,43.2,56.9,1400.0,70.0,True,False,True,True,False,True,#31543b,"5d, 15h, 13m, 26s",True,True,-1.4,94,scattered clouds,1333,4569,1,49,2,0,2.07127,0.23,0.4,3d 7h 50m 44s
2024-11-27 03:13:36,7.2,43.8,56.4,1400.0,98.0,True,True,False,True,True,False,True,#013c62,"5d, 15h, 13m, 35s",True,-1.3,83,few clouds,1334,4570,1,49,2,0,2.07121,0.52,0.45,3d 7h 50m 54s
2024-11-27 03:13:46,6.3,43.3,56.4,1400.0,84.0,True,False,True,True,False,True,#552052,"5d, 15h, 13m, 46s",True,True,-1.4,94,scattered clouds,1335,4571,1,49,2,0,2.07116,0.44,0.44,3d 7h 51m 4s
2024-11-27 03:13:56,6.3,43.3,56.9,1400.0,84.0,True,False,True,True,False,True,#545e3b,"5d, 15h, 13m, 56s",True,True,-1.3,83,few clouds,1336,4571,1,49,2,0,2.07111,0.59,0.47,3d 7h 51m 14s
2024-11-27 03:14:06,6.1,43.4,55.8,1400.0,84.0,True,False,True,True,False,True,#272854,"5d, 15h, 14m, 6s",True,True,-1.4,94,scattered clouds,1337,4572,1,49,2,0,2.07105,0.72,0.5,3d 7h 51m 24s
2024-11-27 03:14:16,8.0,43.3,56.4,1400.0,112.0,True,False,True,True,False,True,#23174b,"5d, 15h, 14m, 16s",True,True,-1.4,94,scattered clouds,1338,4573,1,49,2,0,2.071,0.69,0.5,3d 7h 51m 34s
2024-11-27 03:14:26,11.8,43.4,56.4,1400.0,154.0,True,False,True,True,False,True,#16211c,"5d, 15h, 14m, 25s",True,True,-1.4,94,scattered clouds,1339,4574,1,49,2,0,2.07095,0.74,0.52,3d 7h 51m 44s
2024-11-27 03:14:36,5.5,43.3,56.4,1400.0,70.0,True,False,True,True,False,True,#603e63,"5d, 15h, 14m, 36s",True,True,-1.4,94,scattered clouds,1340,4575,1,49,2,0,2.0709,0.63,0.5,3d 7h 51m 54s
2024-11-27 03:14:46,5.7,43.2,56.4,1400.0,70.0,True,False,True,True,False,True,#643e37,"5d, 15h, 14m, 46s",True,True,-1.65,86,clear sky,1341,4576,1,49,2,0,2.07084,0.53,0.49,3d 7h 52m 4s
2024-11-27 03:14:56,7.7,43.5,56.9,1400.0,98.0,True,False,True,True,False,True,#606100,"5d, 15h, 14m, 56s",True,True,-1.65,86,clear sky,1342,4577,1,49,2,0,2.07079,0.6,0.5,3d 7h 52m 14s
2024-11-27 03:15:06,5.0,48.5,56.9,1400.0,70.0,True,False,True,True,False,True,#3f0947,"5d, 15h, 15m, 6s",True,True,-1.4,94,scattered clouds,1343,4578,1,49,2,0,2.07074,0.74,0.54,3d 7h 52m 24s
2024-11-27 03:15:16,3.5,44.8,56.4,1400.0,42.0,True,False,True,True,False,True,#18234e,"5d, 15h, 15m, 16s",True,True,-1.4,94,scattered clouds,1344,4578,1,49,2,0,2.07068,0.7,0.53,3d 7h 52m 34s
2024-11-27 03:15:26,3.5,44.1,56.4,1400.0,42.0,True,False,True,True,False,True,#1c3935,"5d, 15h, 15m, 26s",True,True,-1.4,94,scattered clouds,1345,4579,1,49,2,0,2.07063,0.99,0.6,3d 7h 52m 44s
2024-11-27 03:15:36,6.8,43.9,56.9,1400.0,84.0,True,False,True,True,False,True,#544364,"5d, 15h, 15m, 35s",True,True,-1.4,94,scattered clouds,1346,4580,1,49,2,0,2.07058,1.0,0.61,3d 7h 52m 54s
2024-11-27 03:15:46,5.0,43.6,56.4,1400.0,70.0,True,False,True,True,False,True,#1a4409,"5d, 15h, 15m, 46s",True,True,-1.4,94,scattered clouds,1347,4581,1,49,2,0,2.07053,0.85,0.59,3d 7h 53m 4s
2024-11-27 03:15:56,3.8,44.3,56.9,1400.0,42.0,True,False,True,True,False,True,#052b21,"5d, 15h, 15m, 56s",True,True,-1.4,94,scattered clouds,1348,4582,1,49,2,0,2.07122,0.79,0.59,3d 7h 53m 14s
2024-11-27 03:16:06,3.3,44.0,55.8,1400.0,42.0,True,False,True,True,False,True,#24051b,"5d, 15h, 16m, 6s",True,True,-1.65,86,clear sky,1349,4583,1,49,2,0,2.07116,0.67,0.57,3d 7h 53m 24s
2024-11-27 03:16:16,4.3,43.7,56.9,1400.0,56.0,True,False,True,True,False,True,#134061,"5d, 15h, 16m, 16s",True,True,-1.4,94,scattered clouds,1350,4584,1,49,2,0,2.07111,0.73,0.58,3d 7h 53m 34s
2024-11-27 03:16:26,3.8,44.0,56.4,1400.0,42.0,True,False,True,True,False,True,#080532,"5d, 15h, 16m, 25s",True,True,-1.4,94,scattered clouds,1351,4585,1,49,2,0,2.07032,0.61,0.56,3d 7h 53m 44s
2024-11-27 03:16:36,5.6,43.8,56.4,1400.0,70.0,True,False,True,True,False,True,#295440,"5d, 15h, 16m, 36s",True,True,-1.4,94,scattered clouds,1352,4585,1,49,2,0,2.07027,0.52,0.54,3d 7h 53m 54s
2024-11-27 03:16:46,4.0,44.5,56.4,1400.0,56.0,True,False,True,True,False,True,#07550c,"5d, 15h, 16m, 46s",True,True,-1.4,94,scattered clouds,1353,4586,1,49,2,0,2.07021,0.59,0.56,3d 7h 54m 4s
2024-11-27 03:16:56,3.5,43.9,56.9,1400.0,42.0,True,False,True,True,False,True,#2c015e,"5d, 15h, 16m, 56s",True,True,-1.4,94,scattered clouds,1354,4587,1,49,2,0,2.07016,0.5,0.54,3d 7h 54m 14s
2024-11-27 03:17:06,3.3,43.8,56.4,1400.0,42.0,True,False,True,True,False,True,#5e1558,"5d, 15h, 17m, 6s",True,True,-1.4,94,scattered clouds,1355,4588,1,49,2,0,2.07011,0.42,0.52,3d 7h 54m 24s
2024-11-27 03:17:16,4.5,43.9,56.4,1400.0,56.0,True,False,True,True,False,True,#5e2718,"5d, 15h, 17m, 16s",True,True,-1.4,94,scattered clouds,1356,4589,1,49,2,0,2.0708,0.35,0.5,3d 7h 54m 34s
2024-11-27 03:17:26,5.0,43.6,-1.4,94,scattered clouds,1357,4590,1,49,2,0,2.07074,0.3,0.49,3d 7h 54m 44s
2024-11-27 03:17:36,8.7,43.7,56.4,1400.0,112.0,True,False,True,True,False,True,#3c1b1a,"5d, 15h, 17m, 36s",True,True,-1.4,94,scattered clouds,1358,4591,1,49,2,0,2.07069,0.4,0.5,3d 7h 54m 54s
2024-11-27 03:17:46,5.6,43.7,56.4,1400.0,70.0,True,False,True,True,False,True,#231f2e,"5d, 15h, 17m, 45s",True,True,-1.4,94,scattered clouds,1359,4592,1,49,2,0,2.07064,0.42,0.5,3d 7h 55m 4s
2024-11-27 03:17:56,5.9,43.9,56.9,1400.0,70.0,True,False,True,True,False,True,#3b2f2f,"5d, 15h, 17m, 56s",True,True,-1.4,94,scattered clouds,1360,4592,1,49,2,0,2.06985,0.66,0.55,3d 7h 55m 14s
2024-11-27 03:18:06,4.7,43.3,56.4,1400.0,56.0,True,False,True,True,False,True,#032804,"5d, 15h, 18m, 6s",True,True,-1.4,94,scattered clouds,1361,4593,1,49,2,0,2.0698,0.64,0.55,3d 7h 55m 24s
2024-11-27 03:18:16,4.5,43.3,56.9,1400.0,56.0,True,False,True,True,False,True,#341e4b,"5d, 15h, 18m, 16s",True,True,-1.4,94,scattered clouds,1362,4594,1,49,2,0,2.06975,0.62,0.55,3d 7h 55m 34s
2024-11-27 03:18:26,3.0,43.3,56.4,1400.0,42.0,True,False,True,True,False,True,#56214f,"5d, 15h, 18m, 26s",True,True,-1.4,94,scattered clouds,1363,4595,1,49,2,0,2.0697,0.53,0.53,3d 7h 55m 44s
